,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,ID,description,input_string,number_of_results,status
81,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,143,Επίθεση ΜΑΤ με δακρυγόνα σε κόσμο που χορεύει στην πλατεία Συντάγματος,Αθήνα,1,OK
82,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,144,Δακρυγόνα και χειροβομβίδες κρότου λάμψης σε καφετέρια,Αθήνα,1,OK
83,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,146,Δακρυγόνα και επίθεση ΜΑΤ σε διαδηλωτές στο Hilton,Αθήνα,1,OK
84,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,147,Αστυνομικοί πετούν πέτρες σε διαδηλωτές,Αθήνα,1,OK
85,"Keratsini, Greece",37.9643568,23.6215313,APPROXIMATE,ChIJZdZppFO6oRQRYH-54iy9AAQ,"locality,political",,148,Άνδρες με πολιτικά δίπλα στα ΜΑΤ πετάνε πέτρες σε διαδηλωτές αντιφασιστικής συγκέντρωσης,Κερατσίνι,1,OK
86,"Thessaloniki, Greece",40.6400629,22.9444191,APPROXIMATE,ChIJ7eAoFPQ4qBQRqXTVuBXnugk,"locality,political",,151,Δακρυγόνα και επίθεση ΜΑΤ σε διαδηλωτές που αποχωρούν,Θεσσαλονίκη,1,OK
87,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,154,Βιοπραγίες κατά του αναίσθητου Ζακ Κωστόπουλου,Αθήνα,1,OK
88,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,158,Υπηρεσιακό όχημα τραυματίζει θανάσιμα πολίτη σε δίκυκλο,Αθήνα,1,OK
89,"Sepolia, Athens 104 43, Greece",38.0045679,23.7160906,APPROXIMATE,ChIJN4B2wdeioRQRkko7-S29ACY,"neighborhood,political",104 43,160,Ξυλοδαρμός δύο 24χρονων από αστυνομικούς,Σεπόλια,1,OK
90,"Plateia Syntagmatos, Athina, Greece",37.9755253,23.7349038,APPROXIMATE,ChIJNQRIkj69oRQRDlYNy1cQumg,town_square,,163,ΜΑΤ ξυλοκοπούν και σέρνουν στο δρόμο πεσμένο άνθρωπο,Σύνταγμα,1,OK
91,"Plateia Syntagmatos, Athina, Greece",37.9755253,23.7349038,APPROXIMATE,ChIJNQRIkj69oRQRDlYNy1cQumg,town_square,,164,Ξύλο πολλών ΜΑΤ σε ήδη συλληφθέντα διαδηλωτή,Σύνταγμα,1,OK
92,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,165,Ομάδα ΔΕΛΤΑ ξυλοκοπεί ανθρώπους που τους χειροκροτούν ειρωνικά και σπάει το τζάμι καταστήματος,Εξάρχεια,1,OK
93,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,166,Αστυνομικοί του ΑΤ Ομονοίας υποχρεώνουν συλληφθέντες να χτυπάνε ο ένας τον άλλο,Αθήνα,1,OK
94,"76, Patission Street , 104 34 Athens 2, Troias, Kimolou and Spetson Street, 113 62 Athens 47A, Evelpidon and 33, Lefkados 113 62, Athina 104 34, Greece",37.994042,23.7328114,ROOFTOP,ChIJTUz3wMyioRQRh7xlhyCtv5g,"establishment,point_of_interest,university",104 34,196,Εξύβριση αστυνομικών προς πολίτη που προσάγεται, Athens University of Economics,1,OK
95,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,208,ΜΑΤ ρίχνουν δακρυγόνο στο εσωτερικό του κτηρίου ΒΟΞ και μετά αποχωρούν,Εξάρχεια,1,OK
96,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,213,ΜΑΤ εκτοξεύουν βλήματα με ασφυξιογόνα σε ευθεία βολή,Εξάρχεια,1,OK
97,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,214,Εξύβριση και τραμπουκισμός προς δικηγόρους διαδηλωτές από αστυνομικούς,Αθήνα,1,OK
98,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,217,ΜΑτ ρίχνουν χημικά μέσα σε κτήριο και κλωτσάνε άνθρωπο πεσμένο στο δρόμο,Εξάρχεια,1,OK
99,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,218,ΜΑΤ χτυπάει με την ασπίδα ακινητοποιημένο πολίτη,Εξάρχεια,1,OK
100,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,224,ΜΑΤ διαλύουν συγκεντρωμένου χωρίς αφορμή και ξυλοκοπούν άνθρωπο πεσμένο στο έδαφος,Αθήνα,1,OK
101,"Athens 105 58, Greece",37.9715323,23.7257492,GEOMETRIC_CENTER,ChIJ86z1Nxi9oRQR9g3r9ULAl1w,"establishment,point_of_interest,tourist_attraction",105 58,249,Αστυνομικός ξυλοκοπεί ακινητοποιημένο άνδρα,Ακρόπολη Αθηνών,1,OK
102,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,250,"Ξυλοδαρμός άνδρα κατά τη σύλληψη, ενώ είναι ακινητοποιημένος",Αθήνα,1,OK
103,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,253,Βασανισμός μέσα σε αστυνομικό τμήμα,Αθήνα,1,OK
